Symbol	GSM753773	GSM753777	GSM753778	GSM753779	GSM753775	GSM753770	GSM712085	GSM712090	GSM712093	GSM712100	GSM712101	GSM712104	GSM712110	GSM712113	GSM712115	GSM712118	GSM712123	GSM712128	GSM712136	GSM712138	GSM712139	GSM712151	GSM712152	GSM712157	GSM712163	GSM712091	GSM712096	GSM712097	GSM712102	GSM712103	GSM712106	GSM712107	GSM712108	GSM712111	GSM712117	GSM712119	GSM712121	GSM712124	GSM712125	GSM712129	GSM712133	GSM712135	GSM712145	GSM712147	GSM712148	GSM712149	GSM712150	GSM712153	GSM712155	GSM712156	GSM712158	GSM712159	GSM712398	GSM712399	GSM712401	GSM712402	GSM712403	GSM712406	GSM712408	GSM712410	GSM712411	GSM712412	GSM712413	GSM712415	GSM712416	GSM712418	GSM712421	GSM712422	GSM712423	GSM712426	GSM712428	GSM712429	GSM712434	GSM712440	GSM712441	GSM712445	GSM712446	GSM712447	GSM712448	GSM712449	GSM712450	GSM712451	GSM712452	GSM712454	GSM712457	GSM712461	GSM712462	GSM712463	GSM712464	GSM712465	GSM712466	GSM712467	GSM712469	GSM712470	GSM712471	GSM712472
SPINT2	8.88111	8.24245	8.82512	8.1752	8.06918	8.50097	9.29675	9.69652	9.6214	10.0355	9.56558	9.10419	10.1258	9.18136	9.66319	9.15083	9.85996	9.6106	9.3493	9.66982	9.38495	9.93644	9.70734	9.55871	9.08773	10.0447	8.43526	9.46017	9.14136	9.15624	10.0088	9.36928	8.89608	9.03551	9.60717	9.39517	10.2281	9.82726	9.57854	9.32926	10.1228	9.76367	8.69325	9.45293	9.39626	9.67827	9.28004	9.5313	9.61784	9.30846	9.18143	9.67799	9.80205605679253	8.68346671358891	9.03497589158193	8.64063576332926	9.84636393637148	8.55106000011381	9.73079421713638	9.64513231661707	9.42045444391881	9.2566999056416	9.73134806563112	10.2855657926978	8.11377815190254	9.96562597890482	9.34513104863459	9.62076298284865	9.39146970602757	9.69516329730831	8.82562116057138	8.72038994657137	9.12156087292579	9.81885612779955	9.70550180254339	9.77750210685919	8.60020482321346	8.92309849564507	9.94531820076447	9.73042498480655	9.4128851811574	10.5678439088487	10.0664264049469	9.46494693966267	9.95288746352587	9.10531465041351	8.8965137678977	9.4234083025574	7.93259584765761	9.63830151851532	9.85781013859604	10.2403348322943	9.27996154242055	9.24802294589072	9.41602365596091	8.51997063794258
SPINT3	3.19115	2.81521	2.88562	3.85151	3.17816	2.69894	3.77947	4.52648	2.15955	2.80679	1.63152	3.69581	2.89312	2.68296	2.30291	3.74613	3.05514	3.32771	4.18842	4.55243	2.66551	4.0668	4.04097	3.98633	3.22792	3.70124	4.41359	3.57819	5.27711	3.16035	2.21794	3.28313	4.34694	4.8261	3.95043	2.45618	3.00125	3.71345	3.65928	3.25827	2.19274	4.52749	3.76271	5.52059	3.85663	4.31092	5.02576	4.72298	3.65475	2.41225	3.84464	3.69546	3.1686163050085	3.7769075833922	2.70802100336068	3.00827187883762	3.74665371252139	4.90371992194734	3.62552928459858	3.20222566461831	4.64826700002487	3.39171272837631	3.87675516226543	3.45782021431223	4.47427183557486	2.87333329597632	3.2381119630153	1.90273638933206	4.34483494691225	3.17970684895754	3.12960330119562	4.47065488018087	2.58433638110779	3.94993314232996	2.53928785534229	5.1047550963006	3.25872425098345	3.80505882657915	3.1161595573517	4.94653508670149	3.60186655232225	3.64776484471645	3.73585731855921	4.99931866767702	3.55591378770825	3.884610056359	3.19337937612458	3.72153112475471	3.09638614156829	2.21241095883249	2.29935951605969	2.11760750751173	2.56628428746972	2.50582012350393	2.27924837251359	3.41048385531559
SPRR1A	3.64034	4.43516	3.90154	3.86279	3.93583	4.09578	4.71318	5.02087	4.14402	4.00444	4.49813	4.50798	4.81043	4.67235	6.37636	4.97416	5.08525	4.99879	4.57498	4.69768	4.86903	5.17154	4.76345	4.57529	4.99219	5.01241	5.97807	4.85166	4.59037	4.70828	4.029	7.05509	4.32666	5.34068	4.64994	4.49628	4.54848	4.4314	3.89799	5.17968	4.08945	4.45721	4.6771	5.13042	4.61678	4.93134	5.13539	4.38138	5.00281	4.7883	4.28108	5.37864	4.56000423698363	5.49971673406901	4.26717941255142	4.32491847394723	4.48803441334658	4.80572288927065	4.88920343371273	4.12897657994277	4.45749576631282	4.28021088379578	5.17329939789966	4.07694960556299	5.03936208481597	5.02343747858946	4.53087506596681	3.99574400486755	4.61467706985135	4.58560971795809	4.24498634719692	4.90268000264665	4.22786244997354	5.09340436262349	4.94495191933023	5.04350396609383	4.56904219284665	6.03936059118743	4.99563123681662	4.53821917784456	4.5826671276771	8.75415976571568	4.55865658009023	4.08159840365396	5.0561768864216	3.96811085664064	3.90485752942416	4.68004461109325	4.89297440024929	4.42640074716711	3.78309858367984	4.07510739568119	4.08058457002773	3.61692877957712	5.24749470998452	4.39244968451338
SPRR1B	1.43908	1.43395	1.10149	2.17105	2.38628	1.43252	1.33066	2.26656	1.88909	1.57343	1.37206	1.28363	2.34794	1.11729	4.45134	1.99759	1.38794	1.56153	2.02376	1.97071	1.46295	2.4258	2.35023	1.92915	2.41402	1.93615	3.54371	2.51598	1.98218	1.04779	2.30111	4.17521	1.62955	1.81341	1.44482	1.52549	1.52172	1.97148	1.83561	1.52253	2.01652	1.42988	2.98326	1.49457	1.72367	1.48484	2.31457	2.67994	1.87096	2.60073	1.63063	2.44089	2.90289568776425	1.50917081991572	2.33947052021028	1.1062467290312	1.57961503700622	1.23455876075836	1.34801520928956	1.91217672754482	2.58874276475801	1.70253885169692	2.63333289055862	1.87916951515664	1.7027024851861	1.62460255842341	1.89968214183556	2.06236889439616	2.33355633838718	2.19106663363351	2.47657200792749	1.37814714751078	1.84241042062376	1.67956003457399	2.18773552331814	1.52579130717351	1.78486987296547	1.94728779907956	1.71446072019407	1.56105432409106	1.44834591436752	3.59123164809178	1.40264541846178	2.4250157707305	1.75783528293223	2.80413118893983	2.0663311624555	1.95576167619763	1.55383107435455	1.09070154755943	1.91950517023866	2.68415277705431	1.4956126165268	2.08779052575037	4.71672616286084	3.21765639230172
SPRR3	2.71627	2.15581	2.56717	2.25002	2.42358	2.6511	3.7357	3.67971	3.34025	3.3208	3.36853	3.38427	3.87285	3.86373	5.02427	4.02928	3.55716	3.12195	3.56522	3.36425	3.674	3.86928	2.86739	3.68782	3.67583	3.75381	4.32936	3.35823	3.29384	3.16615	3.3256	3.87137	3.80683	3.28466	3.54063	3.0702	3.51632	3.19907	3.34168	3.3926	3.41915	3.32955	3.5266	3.43737	3.35025	3.64602	3.9021	3.69766	3.76763	3.33369	4.24083	4.01376	3.21241862844748	3.78749025576295	3.40893111728279	3.06992890087707	3.65895751876826	3.23647989865876	3.18926601647681	2.98984582127156	3.12323685099269	3.51955722921591	3.36486725033495	3.15238660735137	3.70320311736423	3.40918554159016	3.39137584007426	2.74015865219592	4.80038976973257	3.353866427902	3.35651970996457	3.44881515632384	3.64527918338632	3.17267997472493	3.89420307953985	3.78882295451584	3.62866891074802	4.0325493255331	3.29691172938074	3.44713110971792	4.76817480624224	8.22855134900888	3.59759279891926	3.2341416181196	3.95210278263134	2.91201621410275	2.90793330974162	3.73963425509097	3.60901766186449	2.69252072950169	3.63901549924774	3.31403085063378	3.08990726672722	3.24618436866845	4.15747166045177	3.24196819443203
SPRY4	4.85203	5.10752	6.27532	5.8258	5.34815	4.82986	7.18295	6.76904	6.25305	7.1507	6.82396	7.33183	7.52286	7.09664	6.70111	6.81108	6.15241	6.61931	6.90482	7.4289	6.72391	7.2209	7.14208	6.27685	6.6142	6.71193	6.50295	6.15301	6.36927	6.22327	6.67992	6.57204	6.70652	6.19656	7.56211	6.26916	6.08619	6.59478	6.67146	7.24946	7.18608	5.53992	6.49394	6.9603	6.18948	7.24605	6.47847	7.22494	6.4018	7.10937	7.35953	6.05391	7.05947293835849	6.00378380454026	6.60824313426045	6.8346962930703	5.87232037776472	6.6288471044159	6.78697281157291	7.07970540835858	5.45211559946248	6.4639772405922	6.83768734560327	5.79214302372011	6.65415674320603	6.74837489799459	6.79255483954846	6.9568626903166	6.06132822604239	7.29039362467778	7.22146605738934	6.64644097074837	6.26923495401883	6.39705005875574	6.37771299938654	6.52292193191073	5.73405564045243	6.52772285699549	5.91422369016133	5.91239476631951	6.36665372553056	7.71197962150639	5.91261385615473	5.69006621179875	6.18801930466819	5.55063934579531	6.04851623350467	6.98271529087227	7.2089398342019	6.85507164774553	6.13886697641938	5.96151851763329	6.97350399214813	6.93285806489277	6.94924217430904	6.45408962107238
SQSTM1	8.21269	7.91011	8.65455	8.24631	7.96074	7.67127	9.63476	9.79533	8.52319	9.8118	9.59071	9.17325	9.40933	9.72662	8.50635	9.71493	8.90529	9.27157	9.96109	9.91511	9.22454	9.58805	10.6236	8.79982	9.38318	8.82626	9.06366	9.1152	8.22392	8.9418	9.48304	8.79381	9.16111	8.80566	9.55431	8.89531	9.59153	8.89408	8.73183	8.74257	8.77266	8.78628	8.86605	9.43759	8.72538	9.09492	8.84143	9.50212	8.89863	9.24502	8.76718	8.92779	9.08865798837618	7.9408094872	8.71044778100944	9.23402434197512	9.02090119999378	10.2185441194778	8.84840181480546	8.99649662968155	8.17606348176262	8.84612809707451	8.90827638172057	9.04773106921902	9.70574498055686	9.71878096221432	9.26540164666227	9.52869815990664	8.24122823193174	9.25615519455639	8.66477637085369	9.01135158552377	8.70039794863862	9.31663608619975	8.65474169660108	8.76245528457544	8.3973871656936	9.29041254170275	9.47867636982567	8.91176274890803	10.2091460861899	9.85171765888405	8.91828073973676	9.15353473429938	8.58646953219966	7.78577225418541	7.84069011644704	8.87826330767198	8.98209641738551	8.61836221290583	10.2271842468554	8.85022078899023	8.94920330087772	8.81262865583847	8.22625201114386	8.4899426354616
SRC	6.56556	7.04307	6.85728	6.46845	6.72167	6.76161	7.68538	7.76378	7.68779	7.56686	7.3611	7.95838	7.1877	6.91455	7.29195	7.42107	7.62198	7.38912	7.97423	8.56312	7.87156	7.76293	8.23308	8.12902	7.2758	7.45262	7.53866	7.69256	7.45532	7.02514	7.70264	7.35595	7.05386	7.34954	7.67947	7.03275	7.55912	7.94048	7.23611	7.10753	8.53651	7.03863	7.05611	8.10791	7.5826	7.423	7.38121	7.81899	7.03271	7.52933	7.33203	7.23271	7.80667506669429	7.12283409334925	7.43869946514273	8.26939214397307	7.70333721663806	7.28999790695371	7.57532257332517	7.32267863805257	7.95512272353181	7.49976878544622	7.72744575448902	7.28906693533159	6.8125182796669	8.471703158948	8.33776415076702	8.09783946415	6.44067370514026	8.47818368868126	7.47891260300244	7.09066116495337	7.44340268541555	7.79175533965914	7.52014134626812	8.04591059250012	6.86795340807544	6.91809287972434	7.51829149356441	7.06981707305013	7.13250652578694	6.68693383500398	6.94668700811828	7.38103967727352	7.35613316374645	7.16666230283256	7.58761865306159	7.33132337454377	6.93482618784155	7.2315159623273	7.58961359225186	8.01636131140297	7.07528199737743	7.39689037593079	7.02094710815868	6.13039416307956
SRPR	7.52045	7.0439	7.9704	7.18255	7.30883	7.53696	9.42007	9.14952	8.5222	9.38857	9.192	8.61036	9.1524	8.59186	8.38496	9.19169	9.17129	8.89692	9.26789	9.49641	8.96405	8.96579	9.23339	7.92271	9.31569	9.18784	8.27259	9.00196	7.42543	8.57121	8.88949	8.80411	8.8499	8.3585	8.25737	8.17482	9.2356	8.68535	7.93628	8.34376	9.08212	7.58754	8.67175	8.47365	8.34996	8.5967	8.61668	9.35092	9.20782	9.20267	9.10694	8.67002	7.91818209153769	8.28173744200414	7.83082603559522	9.2147541405601	9.09370078249503	8.88931001057836	9.20306055086947	8.62401375320255	7.62063787836713	9.3596887733455	9.78806943229414	8.25070825471236	8.56763747501796	9.17440302120508	8.75178680787858	8.82639520407379	8.27040618889546	8.87399305506809	8.10628418711064	7.98556022593826	8.32604132407149	8.32549781919855	9.31703187574162	8.20266571791293	7.39368341930091	8.51745385841602	8.15819713739923	8.43217300289752	9.0232098474585	7.84820172168483	8.3933865187828	8.05596881175162	8.43102011377309	7.63091506141919	9.10605316597106	8.74042261508064	8.68129587284205	8.53621301145495	8.49915586102686	8.88865121679297	8.81848967864913	9.1261463764254	7.8642762900483	9.09930052967083
SSFA2	7.34925	6.9645	6.85297	5.80183	6.99022	6.57226	8.02187	8.18651	8.23613	9.01339	9.0965	7.81551	8.06332	7.90773	8.53653	7.97648	8.96356	8.34452	7.86645	8.97567	7.99996	8.77861	8.31897	8.32823	8.82301	8.67311	7.63165	8.56442	7.96746	7.85153	8.7034	7.95841	8.17924	7.48673	7.91622	8.10054	8.38442	8.56837	8.01617	7.44853	8.41252	8.12167	7.6101	7.39099	8.8779	8.02456	7.81854	8.30228	8.45878	9.12693	8.72257	7.87488	8.52413089414013	7.21871620822274	7.98626484699791	8.55769331312328	7.27696648895977	9.06263802119551	8.44449871277001	8.04124687719726	6.99778247187527	8.32281923121315	7.87371132655781	7.75090052750713	7.69919931803984	7.77636774131232	8.2209503759924	8.99513607739796	7.24170709373591	8.18140454448642	8.08652471733857	6.62376890842042	7.99649698521974	7.46240199639023	8.78823067797378	7.2097285192441	7.75757530072064	8.46940026782829	7.44976895104264	7.58130346499007	8.86013218980284	9.1616911528761	7.98274519257272	8.02372402623753	8.20821676908981	8.51137214684879	8.81148553756884	8.44261318361366	8.22729832415214	9.17250152003921	7.98535979300286	8.35039823767346	8.8745879133349	8.00229184482694	8.71783758946981	7.97546705002918
